Shop Number,Item Code,Item Button,Act Flag,Shop Name,Menu Item Name,Price
803219,V241122002,22,Y,The Glass Room,เบียร์สิงห์สด,145
803219,V241122003,23,Y,The Glass Room,เบียร์อาซาฮี,160
803219,V10033100278,24,Y,The Glass Room,ใส่กล่องกลับบ้านเพิ่ม,7
803219,V251117002,100,Y,The Glass Room,Delivery,10
803220,V250529013,1,Y,อาหารนานาชาติ,Dragon Boat,99
803220,V250529014,2,Y,อาหารนานาชาติ,Dragon Boat (1),89
803220,V250529015,3,Y,อาหารนานาชาติ,Dragon Boat (2),104
803220,V250529016,4,Y,อาหารนานาชาติ,Dragon Boat (3),65
803220,V250529017,5,Y,อาหารนานาชาติ,Dragon Boat (4),79
803220,V250529018,6,Y,อาหารนานาชาติ,Dragon Boat (5),120
803220,V17020900004,7,Y,อาหารนานาชาติ,เพิ่ม Topping,5
803220,V251117002,100,Y,อาหารนานาชาติ,Delivery,10
803221,V10031900049,1,Y,เครื่องดื่มทุกชนิด,น้ำปั่น,65
803221,V230726008,2,Y,เครื่องดื่มทุกชนิด,เมนูโซดา,55
803221,V250314001,3,Y,เครื่องดื่มทุกชนิด,น้ำอัดลม 22 ออนซ์,30
803221,V12091100003,4,Y,เครื่องดื่มทุกชนิด,น้ำผลไม้,25
803221,V21101900001,5,Y,เครื่องดื่มทุกชนิด,ชานม,45
803221,V230515023,6,Y,เครื่องดื่มทุกชนิด,ชาผลไม้,50
803221,V231114010,7,Y,เครื่องดื่มทุกชนิด,น้ำแข็งเปล่า,3
803221,V10032500007,8,Y,เครื่องดื่มทุกชนิด,น้ำเปล่า,10
803221,V10040800006,9,Y,เครื่องดื่มทุกชนิด,Promotion A,100
803221,V10031900043,10,Y,เครื่องดื่มทุกชนิด,กาแฟเย็น,35
803221,V10031900044,11,Y,เครื่องดื่มทุกชนิด,กาแฟร้อน,30
803221,V240915001,12,Y,เครื่องดื่มทุกชนิด,เบียร์,65
803221,V10043000001,13,Y,เครื่องดื่มทุกชนิด,เพิ่มพิเศษ,5
803221,V10040900148,14,Y,เครื่องดื่มทุกชนิด,เพิ่มพิเศษ,10
803221,V241115021,15,Y,เครื่องดื่มทุกชนิด,น้ำอัดลม,35
803221,V10033100048,16,Y,เครื่องดื่มทุกชนิด,อาหารว่าง,25
803221,V10033100122,17,Y,เครื่องดื่มทุกชนิด,อาหารว่าง,40
803221,V250226001,18,Y,เครื่องดื่มทุกชนิด,น้ำอัดลม 16 ออนซ์,25
803221,V251117002,100,Y,เครื่องดื่มทุกชนิด,Delivery,10
