เลขร้านค้า,ชื่อร้านค้า,รายการไอเทม,ราคา
803220,อาหารนานาชาติ,Dragon Boat (3),65.00
803220,อาหารนานาชาติ,Dragon Boat (4),79.00
803220,อาหารนานาชาติ,Dragon Boat (5),120.00
803220,อาหารนานาชาติ,เพิ่ม Topping,5.00
803220,อาหารนานาชาติ,Delivery,10.00
803221,เครื่องดื่มทุกชนิด,น้ำปั่น,65.00
803221,เครื่องดื่มทุกชนิด,เมนูโซดา,55.00
803221,เครื่องดื่มทุกชนิด,น้ำอัดลม 22 ออนซ์,30.00
803221,เครื่องดื่มทุกชนิด,น้ำผลไม้,25.00
803221,เครื่องดื่มทุกชนิด,ชานม,45.00
803221,เครื่องดื่มทุกชนิด,ชาผลไม้,50.00
803221,เครื่องดื่มทุกชนิด,น้ำแข็งเปล่า,3.00
803221,เครื่องดื่มทุกชนิด,น้ำเปล่า,10.00
803221,เครื่องดื่มทุกชนิด,Promotion A,100.00
803221,เครื่องดื่มทุกชนิด,กาแฟเย็น,35.00
803221,เครื่องดื่มทุกชนิด,กาแฟร้อน,30.00
803221,เครื่องดื่มทุกชนิด,เบียร์,65.00
803221,เครื่องดื่มทุกชนิด,เพิ่มพิเศษ,5.00
803221,เครื่องดื่มทุกชนิด,เพิ่มพิเศษ,10.00
803221,เครื่องดื่มทุกชนิด,น้ำอัดลม,35.00
803221,เครื่องดื่มทุกชนิด,อาหารว่าง,25.00
803221,เครื่องดื่มทุกชนิด,อาหารว่าง,40.00
803221,เครื่องดื่มทุกชนิด,น้ำอัดลม 16 ออนซ์,25.00
803221,เครื่องดื่มทุกชนิด,Delivery,10.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,ก๋วยเตี๋ยวลูกชิ้น,60.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,ก๋วยเตี๋ยวเย็นตาโฟ,65.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,ก๋วยเตี๋ยวแห้งต้มยำ,65.00
